Company Name,Funder,Donation Amount,Year,"Type of Donations: (gift, sponsored projects...) ",Columbia school?,Which Specific Columbia Program?,Source,Notes
Hess,Hess Foundation Inc,"405,000.00",2006,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/221713046/2007_08_PF%2F22-1713046_990PF_200611,
Hess,Hess Foundation Inc,"2,500.00",2007,,Medical Center,,https://projects.propublica.org/nonprofits/display_990/221713046/2008_08_PF%2F22-1713046_990PF_200711,
Hess,Hess Foundation Inc,"52,000.00",2007,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/display_990/221713046/2008_08_PF%2F22-1713046_990PF_200711,
Hess,Hess Foundation Inc,"410,000.00",2007,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/221713046/2008_08_PF%2F22-1713046_990PF_200711,
Hess,Hess Foundation Inc,"1,050,000.00",2007,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/221713046/2008_08_PF%2F22-1713046_990PF_200711,
Hess,Hess Foundation Inc,"5,000.00",2008,,Medical Center,,https://projects.propublica.org/nonprofits/display_990/221713046/2009_09_PF%2F22-1713046_990PF_200811,
Hess,Hess Foundation Inc,"1,152,000.00",2008,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/display_990/221713046/2009_09_PF%2F22-1713046_990PF_200811,
Hess,Hess Foundation Inc,"420,000.00",2008,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/221713046/2009_09_PF%2F22-1713046_990PF_200811,
Hess,Hess Foundation Inc,"1,050,000.00",2008,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/221713046/2009_09_PF%2F22-1713046_990PF_200811,
Hess,Hess Foundation Inc,"50,000.00",2010,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/221713046/2011_09_PF%2F22-1713046_990PF_201011,
Hess,Hess Foundation Inc,"655,000.00",2010,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/display_990/221713046/2011_09_PF%2F22-1713046_990PF_201011,
Hess,Hess Foundation Inc,"200,000.00",2010,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/221713046/2011_09_PF%2F22-1713046_990PF_201011,
Hess,Hess Foundation Inc,"50,000.00",2011,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/221713046/2012_10_PF%2F22-1713046_990PF_201111,
Hess,Hess Foundation Inc,"220,000.00",2011,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/display_990/221713046/2012_10_PF%2F22-1713046_990PF_201111,
Hess,Hess Foundation Inc,"442,500.00",2011,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/221713046/2012_10_PF%2F22-1713046_990PF_201111,
Hess,Hess Foundation Inc,"25,000.00",2012,,Medical Center,,https://projects.propublica.org/nonprofits/display_990/221713046/2013_10_PF%2F22-1713046_990PF_201211,
